71,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,300000,Kilmarnock FC,"Aug 20, 2019"
106,https://www.transfermarkt.com/aron-gunnarsson/profil/spieler/63821,300000,Coventry City,"Oct 13, 2008"
159,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,300000,Sivasspor,"Aug 4, 2020"
235,https://www.transfermarkt.com/brown-ideye/profil/spieler/64308,300000,Neuch E2tel Xamax,"Aug 12, 2008"
334,https://www.transfermarkt.com/cucho/profil/spieler/459463,300000,Deportivo Pereira,"Sep 1, 2016"
401,https://www.transfermarkt.com/diego-cavalieri/profil/spieler/53231,300000,Botafogo de Futebol e Regatas,"Feb 9, 2021"
402,https://www.transfermarkt.com/djibril-sidibe/profil/spieler/161869,300000,ES Troyes AC,"May 30, 2011"
466,https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199,300000,Sporting Kansas City,"Dec 5, 2017"
476,https://www.transfermarkt.com/etienne-capoue/profil/spieler/63494,300000,FC Toulouse,"Dec 27, 2007"
656,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,300000,AIK,"Apr 8, 2020"
716,https://www.transfermarkt.com/joel-pereira/profil/spieler/192611,300000,Huddersfield Town,"Mar 10, 2021"
846,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,300000,RCD Mallorca,"Jun 29, 2017"
847,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,300000,Gimn E0stic de Tarragona,"Mar 2, 2018"
848,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,300000,Gimn E0stic de Tarragona,"May 30, 2018"
849,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,300000,Twente Enschede FC,"Jul 3, 2019"
941,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,300000,Plymouth Argyle,"Mar 24, 2006"
952,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,300000,Sheffield United,"Dec 10, 2019"
953,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,300000,Sheffield United,"Jul 30, 2020"
1078,https://www.transfermarkt.com/martin-olsson/profil/spieler/38073,300000,Blackburn Rovers,"Jan 15, 2008"
1207,https://www.transfermarkt.com/molla-wague/profil/spieler/129893,300000,SM Caen,"May 23, 2012"
1347,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,300000,Milan Primavera,"Jun 8, 2016"
